id,status,duration,start_date,start_station,end_date,end_station
616038,Closed,438,2012-09-28 08:35:00-04,20,2012-09-28 08:42:00-04,24
616039,Closed,1270,2012-09-28 08:35:00-04,39,2012-09-28 08:56:00-04,90
616040,Closed,375,2012-09-28 08:35:00-04,36,2012-09-28 08:41:00-04,55,T01377,Registered,02108,1953,Female
616041,Closed,749,2012-09-28 08:35:00-04,98,2012-09-28 08:48:00-04,23
616042,Closed,853,2012-09-28 08:35:00-04,51,2012-09-28 08:49:00-04,22
616043,Closed,443,2012-09-28 08:35:00-04,4,2012-09-28 08:43:00-04,35,T01450,Registered,02118,1970,Male
616047,Closed,874,2012-09-28 08:37:00-04,36,2012-09-28 08:52:00-04,38
616048,Closed,208,2012-09-28 08:37:00-04,43,2012-09-28 08:41:00-04,64,T01330,Registered,02110,1982,Male
616049,Closed,574,2012-09-28 08:37:00-04,61,2012-09-28 08:47:00-04,22
616050,Closed,483,2012-09-28 08:38:00-04,46,2012-09-28 08:46:00-04,80,T01099,Registered,02115,1985,Male
616051,Closed,45,2012-09-28 08:38:00-04,5,2012-09-28 08:39:00-04,5
616052,Closed,212,2012-09-28 08:39:00-04,43,2012-09-28 08:42:00-04,64
616053,Closed,432,2012-09-28 08:39:00-04,5,2012-09-28 08:46:00-04,36
616054,Closed,215,2012-09-28 08:40:00-04,16,2012-09-28 08:43:00-04,21
616055,Closed,689,2012-09-28 08:40:00-04,27,2012-09-28 08:52:00-04,52
616056,Closed,396,2012-09-28 08:40:00-04,36,2012-09-28 08:47:00-04,22,T01111,Registered,02145,1974,Male
616057,Closed,282,2012-09-28 08:40:00-04,57,2012-09-28 08:45:00-04,16
616059,Closed,667,2012-09-28 08:41:00-04,38,2012-09-28 08:52:00-04,81
616061,Closed,238,2012-09-28 08:41:00-04,22,2012-09-28 08:45:00-04,43,T01151,Registered,01760,1982,Male
616062,Closed,222,2012-09-28 08:41:00-04,7,2012-09-28 08:45:00-04,43
616063,Closed,477,2012-09-28 08:41:00-04,73,2012-09-28 08:49:00-04,75,T01024,Registered,02466,1963,Male
616064,Closed,393,2012-09-28 08:42:00-04,91,2012-09-28 08:49:00-04,84
616065,Closed,725,2012-09-28 08:43:00-04,71,2012-09-28 08:55:00-04,80
616066,Closed,272,2012-09-28 08:44:00-04,57,2012-09-28 08:48:00-04,55
616067,Closed,330,2012-09-28 08:44:00-04,36,2012-09-28 08:49:00-04,33,T01285,Registered,02116,1993,Male
616068,Closed,788,2012-09-28 08:44:00-04,76,2012-09-28 08:57:00-04,9,T01433,Registered,02139,1974,Male
616069,Closed,570,2012-09-28 08:45:00-04,21,2012-09-28 08:54:00-04,59
616070,Closed,372,2012-09-28 08:45:00-04,80,2012-09-28 08:51:00-04,75
616071,Closed,482,2012-09-28 08:46:00-04,75,2012-09-28 08:54:00-04,73
616072,Closed,494,2012-09-28 08:47:00-04,23,2012-09-28 08:55:00-04,49
616073,Closed,439,2012-09-28 08:48:00-04,23,2012-09-28 08:55:00-04,49
616074,Closed,498,2012-09-28 08:47:00-04,50,2012-09-28 08:56:00-04,34,T01329,Registered,02116,1977,Male
616076,Closed,505,2012-09-28 08:47:00-04,33,2012-09-28 08:56:00-04,67
616077,Closed,463,2012-09-28 08:48:00-04,57,2012-09-28 08:56:00-04,45
616078,Closed,1072,2012-09-28 08:48:00-04,66,2012-09-28 09:06:00-04,5
616079,Closed,514,2012-09-28 08:49:00-04,40,2012-09-28 08:57:00-04,35
616080,Closed,368,2012-09-28 08:49:00-04,39,2012-09-28 08:55:00-04,16
616081,Closed,456,2012-09-28 08:49:00-04,60,2012-09-28 08:57:00-04,35,T01324,Registered,02114,1986,Female
616082,Closed,573,2012-09-28 08:50:00-04,58,2012-09-28 08:59:00-04,64
